Ingredient,Time,Temp,Aspect,Type,Value,Rationale
Pork Floss,Mid,Hot,Bitter,Additive,1,Risk of burn
Pork Floss,Long,Low,Crispy,Additive,2,Slow dry
Pork Floss,Long,Med,Crispy,Additive,3,Crisp
Pork Floss,Long,Hot,Crispy,Additive,3,Very crisp
Pork Floss,Long,Hot,Bitter,Additive,3,Burns easily
Pork Floss,Long,Hot,Umami,Additive,-2,Charred off-flavor
Pork Floss,Long,Hot,Sweet,Additive,-2,Burns off
Shrimp,None,Low,Umami,Additive,1,Flash warmth
Shrimp,None,Hot,Umami,Additive,2,Flash sear
Shrimp,Low,Low,Umami,Additive,2,Light cooking
Shrimp,Low,Low,Tender,Additive,2,Softens
Shrimp,Low,Med,Umami,Additive,2,Partial cook
Shrimp,Low,Med,Tender,Additive,2,Softens
Shrimp,Low,Hot,Umami,Additive,3,Quick cook
Shrimp,Low,Hot,Tender,Additive,3,Cooked
Shrimp,Mid,Low,Umami,Additive,2,Gentle cook
Shrimp,Mid,Low,Tender,Additive,2,Soft
Shrimp,Mid,Med,Umami,Additive,3,Seafood umami
Shrimp,Mid,Med,Sweet,Additive,2,Natural sweetness
Shrimp,Mid,Med,Tender,Additive,3,Cooked through
Shrimp,Mid,Med,Chewy,Additive,-2,Less chewy
Shrimp,Mid,Hot,Umami,Additive,4,Intense
Shrimp,Mid,Hot,Tender,Additive,3,Tender
Shrimp,Mid,Hot,Chewy,Additive,-2,Less chewy
Shrimp,Long,Low,Umami,Additive,2,Poached
Shrimp,Long,Low,Tender,Additive,3,Soft
Shrimp,Long,Med,Umami,Additive,3,Cooked
Shrimp,Long,Med,Tender,Additive,3,Tender
Shrimp,Long,Med,Juicy,Additive,-2,Dries
Shrimp,Long,Hot,Umami,Additive,4,Concentrated
Shrimp,Long,Hot,Tender,Additive,3,Very tender
Shrimp,Long,Hot,Chewy,Additive,-3,Overcooked soft
Shrimp,Long,Hot,Juicy,Additive,-4,Dries out
Shrimp,Long,Hot,Sweet,Additive,-2,Overcooked loss
Squid,None,Hot,Umami,Additive,1,Flash sear
Squid,Low,Low,Umami,Additive,2,Light cooking
Squid,Low,Low,Tender,Additive,2,Slight softening
Squid,Low,Med,Tender,Additive,2,Partial cook
Squid,Low,Hot,Tender,Additive,2,Quick cook
Squid,Mid,Low,Umami,Additive,2,Gentle cook
Squid,Mid,Low,Tender,Additive,2,Softens
Squid,Mid,Med,Umami,Additive,3,Cooked umami
Squid,Mid,Med,Tender,Additive,3,Properly cooked
Squid,Mid,Med,Chewy,Additive,-2,Less rubbery
Squid,Mid,Hot,Tender,Additive,2,Still tender
Squid,Mid,Hot,Chewy,Additive,1,Starting to toughen
Squid,Long,Low,Tender,Additive,2,Slow cook
Squid,Long,Med,Tender,Additive,1,Overcooking
Squid,Long,Med,Chewy,Additive,2,Rubbery
Squid,Long,Hot,Umami,Additive,-1,Rubberiness masks flavor
Squid,Long,Hot,Sweet,Additive,-2,Overcooked loss
Squid,Long,Hot,Tender,Additive,-4,Becomes rubbery
Squid,Long,Hot,Chewy,Additive,4,Very rubbery
Squid,Long,Hot,Juicy,Additive,-3,Dries out
Squid,Long,Hot,Bitter,Additive,2,Char
Century Egg,None,Low,Rich,Additive,1,Slight warmth
Century Egg,Low,Low,Rich,Additive,2,Slightly warmed
Century Egg,Low,Med,Tender,Additive,1,Softens
Century Egg,Mid,Low,Rich,Additive,1,Warmed
Century Egg,Mid,Med,Tender,Additive,2,Softens
Century Egg,Mid,Hot,Bitter,Additive,1,Heat intensifies
Century Egg,Long,Low,Tender,Additive,1,Soft
Century Egg,Long,Med,Bitter,Additive,2,Heat builds
Century Egg,Long,Med,Rich,Additive,-1,Dries
Century Egg,Long,Hot,Umami,Additive,-1,Heat dulls
Century Egg,Long,Hot,Bitter,Additive,3,Heat intensifies
Century Egg,Long,Hot,Rich,Additive,-3,Dries out
Century Egg,Long,Hot,Tender,Additive,-2,Firms up
Kimchi,None,Low,Umami,Additive,1,Flash warmth
Kimchi,None,Hot,Sour,Additive,-1,Quick heat
Kimchi,Low,Low,Umami,Additive,2,Light cooking
Kimchi,Low,Low,Sour,Additive,-1,Slight mellowing
Kimchi,Low,Med,Sour,Additive,-2,Mellowing
Kimchi,Low,Med,Umami,Additive,2,Cooked
Kimchi,Low,Hot,Sour,Additive,-2,Mellowing
Kimchi,Low,Hot,Umami,Additive,3,Concentrated
Kimchi,Mid,Low,Umami,Additive,2,Warming
Kimchi,Mid,Med,Sour,Additive,-3,Mellowing
Kimchi,Mid,Med,Umami,Additive,3,Cooked umami
Kimchi,Mid,Med,Crispy,Additive,-3,Wilts
Kimchi,Mid,Med,Juicy,Additive,-2,Moisture loss
Kimchi,Mid,Hot,Sour,Additive,-4,Mellowing
Kimchi,Mid,Hot,Umami,Additive,4,Intense
Kimchi,Mid,Hot,Crispy,Additive,-3,Wilts
Kimchi,Long,Low,Sour,Additive,-2,Slow mellow
Kimchi,Long,Med,Sour,Additive,-4,Mellowing
Kimchi,Long,Med,Umami,Additive,3,Concentrated
Kimchi,Long,Med,Tender,Additive,2,Softened
Kimchi,Long,Hot,Sour,Additive,-5,Strong mellowing
Kimchi,Long,Hot,Salt,Additive,-2,Concentrates
Kimchi,Long,Hot,Umami,Additive,4,Concentrated
Kimchi,Long,Hot,Crispy,Additive,-4,Very soft
Kimchi,Long,Hot,Juicy,Additive,-4,Dries out
Kimchi,Long,Hot,Tender,Additive,3,Softened
Cucumbers,None,Low,Bitter,Additive,-1,Slight warmth
Cucumbers,None,Hot,Bitter,Additive,-1,Flash heat
Cucumbers,Low,Low,Bitter,Additive,-2,Mellowing
Cucumbers,Low,Low,Crispy,Additive,-2,Wilting
Cucumbers,Low,Med,Bitter,Additive,-2,Skin softens
Cucumbers,Low,Med,Crispy,Additive,-2,Wilts
Cucumbers,Low,Hot,Bitter,Additive,-2,Mellowing
Cucumbers,Low,Hot,Crispy,Additive,-3,Wilts fast
Cucumbers,Mid,Low,Sweet,Additive,1,Gentle cook
Cucumbers,Mid,Low,Bitter,Additive,-2,Mellowing
Cucumbers,Mid,Med,Sweet,Additive,2,Cooking
Cucumbers,Mid,Med,Bitter,Additive,-3,Skin bitterness fades
Cucumbers,Mid,Med,Crispy,Additive,-3,Wilts
Cucumbers,Mid,Med,Juicy,Additive,-3,Moisture loss
Cucumbers,Mid,Hot,Bitter,Additive,-3,Mellowed
Cucumbers,Mid,Hot,Crispy,Additive,-4,Very soft
Cucumbers,Mid,Hot,Tender,Additive,2,Softened
Cucumbers,Long,Low,Bitter,Additive,-3,Slow mellow
Cucumbers,Long,Low,Tender,Additive,2,Soft
Cucumbers,Long,Med,Bitter,Additive,-4,Mellowed
Cucumbers,Long,Med,Crispy,Additive,-4,Soft
Cucumbers,Long,Med,Tender,Additive,3,Softened
Cucumbers,Long,Hot,Sweet,Additive,-1,Can cook out
Cucumbers,Long,Hot,Bitter,Additive,-4,Fully mellowed
Cucumbers,Long,Hot,Crispy,Additive,-5,Very soft
Cucumbers,Long,Hot,Juicy,Additive,-5,Dries out
Cucumbers,Long,Hot,Tender,Additive,4,Softened
Garlic,None,Low,Umami,Additive,1,Flash warmth
Garlic,None,Hot,Umami,Additive,2,Flash sear
Garlic,Low,Low,Umami,Additive,2,Starts developing
Garlic,Low,Low,Sweet,Additive,2,Light caramelization
Garlic,Low,Low,Tender,Additive,2,Softens
Garlic,Low,Med,Umami,Additive,2,Cooking
Garlic,Low,Med,Sweet,Additive,2,Caramelization
Garlic,Low,Hot,Umami,Additive,3,Quick cook
Garlic,Low,Hot,Sweet,Additive,2,Caramelization
Garlic,Mid,Low,Umami,Additive,2,Gentle roast
Garlic,Mid,Low,Sweet,Additive,2,Sweetness
Garlic,Mid,Med,Umami,Additive,3,Cooked umami
Garlic,Mid,Med,Sweet,Additive,3,Caramelization
Garlic,Mid,Med,Tender,Additive,3,Soft
Garlic,Mid,Hot,Umami,Additive,4,Intense
Garlic,Mid,Hot,Sweet,Additive,3,Caramelization
Garlic,Mid,Hot,Crispy,Additive,2,Fried
Garlic,Long,Low,Umami,Additive,3,Slow roast
Garlic,Long,Low,Sweet,Additive,3,Concentrated
Garlic,Long,Med,Umami,Additive,3,Braised
Garlic,Long,Med,Tender,Additive,4,Very soft
Garlic,Long,Hot,Umami,Additive,4,Strong umami
Garlic,Long,Hot,Sweet,Additive,4,Deep caramelization
Garlic,Long,Hot,Tender,Additive,4,Very soft
Garlic,Long,Hot,Crispy,Additive,3,Fried/roasted crisp
Garlic,Long,Hot,Rich,Additive,2,Roasted oils
Garlic,Long,Hot,Bitter,Additive,2,Risk of burn
Cilantro,None,Low,Bitter,Additive,-1,Slight warmth
Cilantro,None,Hot,Bitter,Additive,1,Flash char
Cilantro,Low,Low,Bitter,Additive,-2,Mellowing
Cilantro,Low,Low,Crispy,Additive,-2,Wilting
Cilantro,Low,Low,Tender,Additive,2,Softening
Cilantro,Low,Med,Bitter,Additive,-2,Mellowing
Cilantro,Low,Med,Crispy,Additive,-2,Wilts
Cilantro,Low,Hot,Bitter,Additive,-1,Wilts fast
Cilantro,Low,Hot,Crispy,Additive,-3,Dehydrated
Cilantro,Mid,Low,Bitter,Additive,-2,Mellowing
Cilantro,Mid,Low,Tender,Additive,2,Wilted
Cilantro,Mid,Med,Bitter,Additive,-3,Mellowed
Cilantro,Mid,Med,Crispy,Additive,-3,Wilts
Cilantro,Mid,Med,Juicy,Additive,-2,Moisture loss
Cilantro,Mid,Med,Tender,Additive,3,Wilted
Cilantro,Mid,Hot,Bitter,Additive,-2,Charring starts
Cilantro,Mid,Hot,Crispy,Additive,-4,Withered
Cilantro,Long,Low,Bitter,Additive,-3,Mellowed
Cilantro,Long,Low,Tender,Additive,3,Soft
Cilantro,Long,Med,Bitter,Additive,-3,Mellowed
Cilantro,Long,Med,Tender,Additive,3,Wilted
Cilantro,Long,Hot,Bitter,Additive,3,Charring
Cilantro,Long,Hot,Crispy,Additive,-4,Dehydrated
Cilantro,Long,Hot,Juicy,Additive,-4,Dries out
Cilantro,Long,Hot,Tender,Additive,4,Very wilted
Peanuts,None,Low,Umami,Additive,1,Slight warmth
Peanuts,None,Hot,Umami,Additive,2,Flash toast
Peanuts,Low,Low,Umami,Additive,2,Light toasting
Peanuts,Low,Med,Umami,Additive,2,Toasting
Peanuts,Low,Med,Crispy,Additive,1,Crisper
Peanuts,Low,Hot,Umami,Additive,3,Quick toast
Peanuts,Low,Hot,Crispy,Additive,2,Crisp
Peanuts,Mid,Low,Umami,Additive,2,Gentle toast
Peanuts,Mid,Med,Umami,Additive,3,Toasted
Peanuts,Mid,Med,Sweet,Additive,2,Caramelization
Peanuts,Mid,Med,Crispy,Additive,2,Crisper
Peanuts,Mid,Hot,Umami,Additive,3,Intense toast
Peanuts,Mid,Hot,Crispy,Additive,3,Very crisp
Peanuts,Mid,Hot,Rich,Additive,1,Oils release
Peanuts,Long,Low,Umami,Additive,2,Slow toast
Peanuts,Long,Med,Umami,Additive,3,Toasted
Peanuts,Long,Med,Crispy,Additive,2,Crisp
Peanuts,Long,Hot,Umami,Additive,3,Deep toast
Peanuts,Long,Hot,Sweet,Additive,-1,Can burn off
Peanuts,Long,Hot,Crispy,Additive,3,Very crisp
Peanuts,Long,Hot,Rich,Additive,2,Oils release
Peanuts,Long,Hot,Bitter,Additive,3,Burns easily
Seaweed,None,Raw,Chewy,Additive,1,Rehydrating start
Seaweed,Low,Raw,Chewy,Additive,2,Rehydrating
Seaweed,Low,Low,Chewy,Additive,2,Rehydrating
Seaweed,Low,Low,Crispy,Additive,-2,Softens when wet
Seaweed,Low,Med,Chewy,Additive,-1,Softens
Seaweed,Low,Hot,Crispy,Additive,2,Flash toast
Seaweed,Mid,Low,Chewy,Additive,1,Rehydrated
Seaweed,Mid,Med,Umami,Additive,2,Warming
Seaweed,Mid,Med,Chewy,Additive,-2,Softens
Seaweed,Mid,Med,Crispy,Additive,2,Toasting
Seaweed,Mid,Hot,Crispy,Additive,3,Toasted
Seaweed,Mid,Hot,Chewy,Additive,-2,Dries
Seaweed,Long,Low,Chewy,Additive,-1,Over-rehydrated
Seaweed,Long,Med,Crispy,Additive,2,Toasted
Seaweed,Long,Med,Chewy,Additive,-2,Soft
Seaweed,Long,Hot,Umami,Additive,-1,Can burn
Seaweed,Long,Hot,Chewy,Additive,-3,Dries/crisps
Seaweed,Long,Hot,Crispy,Additive,4,Toasted crisp
Seaweed,Long,Hot,Juicy,Additive,-3,Moisture loss
Water,None,Hot,Juicy,Additive,-1,Flash heat
Water,Low,Hot,Juicy,Additive,-1,Heating
Water,Mid,Hot,Juicy,Additive,-1,Boiling
Water,Long,Hot,Juicy,Additive,-2,Evaporation in mixes
Water,Long,Hot,Sweet,Additive,-1,Minimal change
Baby Anchovy,None,Low,Umami,Additive,1,Flash warmth
Baby Anchovy,None,Hot,Crispy,Additive,2,Flash crisp
Baby Anchovy,Low,Low,Umami,Additive,2,Light toasting
Baby Anchovy,Low,Low,Crispy,Additive,2,Slight crisp
Baby Anchovy,Low,Med,Umami,Additive,2,Toasting
Baby Anchovy,Low,Hot,Crispy,Additive,3,Quick crisp
Baby Anchovy,Mid,Low,Umami,Additive,2,Gentle toast
Baby Anchovy,Mid,Med,Umami,Additive,3,Toasted
Baby Anchovy,Mid,Med,Crispy,Additive,3,Crispier
Baby Anchovy,Mid,Med,Chewy,Additive,-2,Dries out
Baby Anchovy,Mid,Hot,Crispy,Additive,4,Very crisp
Baby Anchovy,Mid,Hot,Bitter,Additive,1,Burn risk
Baby Anchovy,Long,Low,Crispy,Additive,2,Dried
Baby Anchovy,Long,Med,Crispy,Additive,3,Crisp
Baby Anchovy,Long,Hot,Umami,Additive,3,Concentrated
Baby Anchovy,Long,Hot,Crispy,Additive,4,Very crisp
Baby Anchovy,Long,Hot,Chewy,Additive,-3,Dries out
Baby Anchovy,Long,Hot,Bitter,Additive,3,Burns easily
Baby Anchovy,Long,Hot,Salt,Additive,-2,Can taste harsh
Bread,None,Low,Crispy,Additive,1,Slight warmth
Bread,None,Hot,Crispy,Additive,2,Flash toast
Bread,Low,Low,Crispy,Additive,2,Light toast
Bread,Low,Med,Crispy,Additive,2,Toasting
Bread,Low,Hot,Crispy,Additive,3,Quick toast
Bread,Mid,Low,Sweet,Additive,1,Gentle toast
Bread,Mid,Med,Sweet,Additive,2,Caramelization
Bread,Mid,Med,Crispy,Additive,3,Toasted
Bread,Mid,Med,Juicy,Additive,-2,Dries out
Bread,Mid,Hot,Sweet,Additive,2,Caramelization
Bread,Mid,Hot,Crispy,Additive,4,Very crisp
Bread,Mid,Hot,Juicy,Additive,-3,Dries
Bread,Long,Low,Crispy,Additive,2,Slow dry
Bread,Long,Med,Umami,Additive,1,Toasted
Bread,Long,Med,Crispy,Additive,3,Crisp
Bread,Long,Hot,Umami,Additive,2,Maillard
Bread,Long,Hot,Sweet,Additive,2,Caramelization
Bread,Long,Hot,Crispy,Additive,4,Very crisp
Bread,Long,Hot,Tender,Additive,-2,Dries
Bread,Long,Hot,Juicy,Additive,-4,Dries out
Bread,Long,Hot,Bitter,Additive,2,Burns
Butter,None,Low,Rich,Additive,1,Slight melt
Butter,None,Hot,Rich,Additive,2,Melts fast
Butter,Low,Low,Rich,Additive,1,Melts
Butter,Low,Med,Rich,Additive,2,Nutty
Butter,Low,Med,Umami,Additive,1,Browning starts
Butter,Low,Hot,Rich,Additive,2,Brown butter
Butter,Low,Hot,Umami,Additive,2,Brown butter
Butter,Mid,Low,Rich,Additive,1,Warmed
Butter,Mid,Med,Rich,Additive,2,Nutty
Butter,Mid,Med,Umami,Additive,2,Brown butter
Butter,Mid,Med,Sweet,Additive,1,Caramelization
Butter,Mid,Hot,Rich,Additive,2,Intense
Butter,Mid,Hot,Umami,Additive,3,Brown butter
Butter,Mid,Hot,Bitter,Additive,2,Burning
Butter,Long,Low,Rich,Additive,1,Liquid
Butter,Long,Med,Rich,Additive,2,Browned
Butter,Long,Hot,Rich,Additive,2,Intense
Butter,Long,Hot,Umami,Additive,3,Brown butter
Butter,Long,Hot,Bitter,Additive,4,Burns
Butter,Long,Hot,Sweet,Additive,-2,Burns off
Coconut,None,Low,Sweet,Additive,1,Slight warmth
Coconut,None,Hot,Sweet,Additive,1,Flash heat
Coconut,Low,Low,Sweet,Additive,1,Warming
Coconut,Low,Low,Rich,Additive,1,Oils release
Coconut,Low,Med,Sweet,Additive,2,Toasting
Coconut,Low,Med,Rich,Additive,1,Oils
Coconut,Low,Hot,Sweet,Additive,2,Quick toast
Coconut,Low,Hot,Crispy,Additive,2,Crisper
Coconut,Mid,Low,Sweet,Additive,1,Gentle toast
Coconut,Mid,Med,Sweet,Additive,2,Toasting
Coconut,Mid,Med,Rich,Additive,2,Oils release
Coconut,Mid,Med,Crispy,Additive,2,Crisper
Coconut,Mid,Med,Juicy,Additive,-2,Dries
Coconut,Mid,Hot,Umami,Additive,1,Toasted
Coconut,Mid,Hot,Sweet,Additive,2,Caramelization
Coconut,Mid,Hot,Crispy,Additive,3,Very crisp
Coconut,Long,Low,Sweet,Additive,2,Slow toast
Coconut,Long,Med,Umami,Additive,1,Toasted
Coconut,Long,Med,Sweet,Additive,2,Concentrated
Coconut,Long,Hot,Umami,Additive,2,Toasted
Coconut,Long,Hot,Sweet,Additive,3,Caramelization
Coconut,Long,Hot,Crispy,Additive,3,Very crisp
Coconut,Long,Hot,Juicy,Additive,-4,Dries out
Coconut,Long,Hot,Bitter,Additive,2,Burns
Egg,None,Low,Umami,Additive,1,Flash warmth
Egg,None,Hot,Umami,Additive,1,Flash heat
Egg,Low,Low,Umami,Additive,2,Light cooking
Egg,Low,Low,Tender,Additive,2,Sets
Egg,Low,Med,Umami,Additive,2,Partial set
Egg,Low,Med,Tender,Additive,2,Sets
Egg,Low,Hot,Umami,Additive,3,Quick cook
Egg,Low,Hot,Tender,Additive,3,Cooked
Egg,Mid,Low,Umami,Additive,2,Gentle cook
Egg,Mid,Low,Tender,Additive,2,Soft
Egg,Mid,Med,Umami,Additive,3,Cooked
Egg,Mid,Med,Rich,Additive,2,Creamy
Egg,Mid,Med,Tender,Additive,3,Soft set
Egg,Mid,Hot,Umami,Additive,3,Fully cooked
Egg,Mid,Hot,Rich,Additive,1,Creamy
Egg,Mid,Hot,Tender,Additive,2,Firm
Egg,Long,Low,Umami,Additive,2,Slow cook
Egg,Long,Low,Tender,Additive,3,Soft
Egg,Long,Med,Umami,Additive,3,Cooked
Egg,Long,Med,Tender,Additive,2,Firming
Egg,Long,Hot,Umami,Additive,3,Fully cooked
Egg,Long,Hot,Rich,Additive,-1,Dries
Egg,Long,Hot,Tender,Additive,-2,Rubberiness
Egg,Long,Hot,Chewy,Additive,3,Overcooked
Egg,Long,Hot,Juicy,Additive,-4,Dries out
Egg,Long,Hot,Bitter,Additive,2,Sulfur/burn
Flour,None,Hot,Umami,Additive,1,Flash heat
Flour,Low,Low,Umami,Additive,1,Slight cooking
Flour,Low,Med,Umami,Additive,1,Cooks
Flour,Low,Hot,Umami,Additive,2,Quick cook
Flour,Mid,Low,Umami,Additive,1,Gentle cook
Flour,Mid,Med,Umami,Additive,2,Cooks
Flour,Mid,Med,Sweet,Additive,1,Caramelization
Flour,Mid,Med,Tender,Additive,2,Softens
Flour,Mid,Hot,Umami,Additive,2,Maillard
Flour,Mid,Hot,Crispy,Additive,2,Crisps
Flour,Long,Low,Umami,Additive,2,Slow cook
Flour,Long,Med,Umami,Additive,2,Cooked
Flour,Long,Hot,Umami,Additive,3,Maillard
Flour,Long,Hot,Sweet,Additive,2,Caramelization
Flour,Long,Hot,Crispy,Additive,3,Crisps
Flour,Long,Hot,Bitter,Additive,3,Burns
Flour,Long,Hot,Tender,Additive,-2,Dries out
Gochujang,None,Low,Umami,Additive,1,Flash warmth
Gochujang,None,Hot,Umami,Additive,2,Flash caramel
Gochujang,Low,Low,Umami,Additive,1,Warming
Gochujang,Low,Med,Umami,Additive,2,Caramelization
Gochujang,Low,Med,Sweet,Additive,1,Concentrates
Gochujang,Low,Hot,Umami,Additive,3,Quick caramel
Gochujang,Low,Hot,Sweet,Additive,2,Concentrated
Gochujang,Mid,Low,Umami,Additive,2,Warming
Gochujang,Mid,Med,Umami,Additive,3,Caramelization
Gochujang,Mid,Med,Sweet,Additive,2,Concentrates
Gochujang,Mid,Med,Spicy,Additive,-1,Mellowing
Gochujang,Mid,Med,Rich,Additive,2,Thickens
Gochujang,Mid,Hot,Umami,Additive,4,Intense
Gochujang,Mid,Hot,Sweet,Additive,2,Caramelized
Gochujang,Mid,Hot,Bitter,Additive,1,Burn risk
Gochujang,Long,Low,Umami,Additive,2,Slow reduce
Gochujang,Long,Med,Umami,Additive,3,Concentrated
Gochujang,Long,Med,Rich,Additive,2,Reduced
Gochujang,Long,Hot,Umami,Additive,4,Intense
Gochujang,Long,Hot,Sweet,Additive,3,Deep caramelization
Gochujang,Long,Hot,Spicy,Additive,-2,Mellowing
Gochujang,Long,Hot,Rich,Additive,2,Reduced
Gochujang,Long,Hot,Bitter,Additive,3,Burns
Gochujang,Long,Hot,Juicy,Additive,-4,Dries out
Mochi,None,Low,Tender,Additive,1,Slight warmth
Mochi,None,Hot,Tender,Additive,2,Flash soft
Mochi,Low,Low,Tender,Additive,2,Softens
Mochi,Low,Low,Chewy,Additive,-1,Slight softening
Mochi,Low,Med,Tender,Additive,2,Soft
Mochi,Low,Hot,Tender,Additive,3,Quick soft
Mochi,Low,Hot,Chewy,Additive,-1,Softens
Mochi,Mid,Low,Sweet,Additive,1,Warming
Mochi,Mid,Low,Tender,Additive,2,Soft
Mochi,Mid,Med,Sweet,Additive,1,Warming
Mochi,Mid,Med,Tender,Additive,3,Soft
Mochi,Mid,Med,Chewy,Additive,-2,Less chewy
Mochi,Mid,Hot,Tender,Additive,4,Very soft
Mochi,Mid,Hot,Chewy,Additive,-2,Melts
Mochi,Mid,Hot,Crispy,Additive,2,Grilled
Mochi,Long,Low,Tender,Additive,3,Very soft
Mochi,Long,Med,Tender,Additive,4,Melting
Mochi,Long,Med,Chewy,Additive,-2,Soft
Mochi,Long,Hot,Tender,Additive,4,Very soft
Mochi,Long,Hot,Chewy,Additive,-3,Melts
Mochi,Long,Hot,Crispy,Additive,3,Grilled
Mochi,Long,Hot,Juicy,Additive,-2,Dries out
Mochi,Long,Hot,Bitter,Additive,2,Burns
Noodle,None,Hot,Tender,Additive,1,Flash blanch
Noodle,Low,Low,Tender,Additive,2,Softens
Noodle,Low,Low,Chewy,Additive,-1,Slight softening
Noodle,Low,Med,Tender,Additive,2,Cooking
Noodle,Low,Med,Chewy,Additive,-1,Softens
Noodle,Low,Hot,Tender,Additive,3,Quick cook
Noodle,Low,Hot,Chewy,Additive,-1,Soft
Noodle,Mid,Low,Tender,Additive,2,Gentle cook
Noodle,Mid,Med,Umami,Additive,2,Cooked
Noodle,Mid,Med,Tender,Additive,3,Al dente
Noodle,Mid,Med,Chewy,Additive,-2,Less chewy
Noodle,Mid,Hot,Tender,Additive,2,Cooked
Noodle,Mid,Hot,Chewy,Additive,-2,Soft
Noodle,Mid,Hot,Crispy,Additive,1,Pan-fried
Noodle,Long,Low,Tender,Additive,3,Soft
Noodle,Long,Med,Tender,Additive,2,Overcooking
Noodle,Long,Med,Chewy,Additive,-3,Mushy
Noodle,Long,Hot,Umami,Additive,2,Cooked
Noodle,Long,Hot,Tender,Additive,-2,Overcooked
Noodle,Long,Hot,Chewy,Additive,-4,Mushy
Noodle,Long,Hot,Crispy,Additive,2,Pan-fried
Noodle,Long,Hot,Juicy,Additive,-3,Dries out
Noodle Buckwheat,None,Hot,Tender,Additive,1,Flash blanch
Noodle Buckwheat,Low,Low,Tender,Additive,2,Softens
Noodle Buckwheat,Low,Med,Tender,Additive,2,Cooking
Noodle Buckwheat,Low,Med,Bitter,Additive,-1,Mellowing
Noodle Buckwheat,Low,Hot,Tender,Additive,3,Quick cook
Noodle Buckwheat,Mid,Low,Tender,Additive,2,Gentle cook
Noodle Buckwheat,Mid,Med,Umami,Additive,2,Cooked
Noodle Buckwheat,Mid,Med,Bitter,Additive,-2,Mellowing
Noodle Buckwheat,Mid,Med,Tender,Additive,3,Al dente
Noodle Buckwheat,Mid,Med,Chewy,Additive,-2,Less chewy
Noodle Buckwheat,Mid,Hot,Tender,Additive,2,Cooked
Noodle Buckwheat,Mid,Hot,Bitter,Additive,-2,Mellowed
Noodle Buckwheat,Long,Low,Tender,Additive,3,Soft
Noodle Buckwheat,Long,Med,Bitter,Additive,-3,Fully mellowed
Noodle Buckwheat,Long,Med,Chewy,Additive,-3,Mushy
Noodle Buckwheat,Long,Hot,Bitter,Additive,-3,Fully mellowed
Noodle Buckwheat,Long,Hot,Tender,Additive,-2,Overcooked
Noodle Buckwheat,Long,Hot,Chewy,Additive,-4,Mushy
Noodle Buckwheat,Long,Hot,Crispy,Additive,2,Pan-fried
Noodle Glass,None,Hot,Tender,Additive,1,Flash blanch
Noodle Glass,Low,Low,Tender,Additive,2,Softens
Noodle Glass,Low,Med,Tender,Additive,2,Cooking
Noodle Glass,Low,Hot,Tender,Additive,3,Quick cook
Noodle Glass,Mid,Low,Tender,Additive,2,Gentle cook
Noodle Glass,Mid,Med,Umami,Additive,2,Cooked
